source	source_number	source_name	target	target_number	target_name	distance	line_number
73	433	义和庄	72	432	黄村火车站	3	4
74	434	生物医药基地	73	433	义和庄	3	4
75	435	天宫院	74	434	生物医药基地	2	4
76	501	天通苑北	77	502	天通苑	2	5
77	502	天通苑	78	503	天通苑南	2	5
78	503	天通苑南	79	504	立水桥	2	5
79	504	立水桥	80	505	立水桥南	3	5
80	505	立水桥南	81	506	北苑路北	2	5
81	506	北苑路北	82	507	大屯路东	3	5
82	507	大屯路东	83	508	惠新西街北口	3	5
83	508	惠新西街北口	84	509	惠新西街南口	2	5
84	509	惠新西街南口	85	510	和平西桥	2	5
85	510	和平西桥	86	511	和平里北街	2	5
86	511	和平里北街	87	512	雍和宫	3	5
87	512	雍和宫	88	513	北新桥	2	5
88	513	北新桥	89	514	张自忠路	2	5
89	514	张自忠路	90	515	东四	2	5
90	515	东四	91	516	灯市口	2	5
91	516	灯市口	92	517	东单	2	5
92	517	东单	93	518	崇文门	2	5
93	518	崇文门	94	519	磁器口	2	5
94	519	磁器口	95	520	天坛东门	2	5
95	520	天坛东门	96	521	蒲黄榆	3	5
96	521	蒲黄榆	97	522	刘家窑	2	5
97	522	刘家窑	98	523	宋家庄	2	5
77	502	天通苑	76	501	天通苑北	2	5
78	503	天通苑南	77	502	天通苑	2	5
79	504	立水桥	78	503	天通苑南	2	5
80	505	立水桥南	79	504	立水桥	3	5
81	506	北苑路北	80	505	立水桥南	2	5
82	507	大屯路东	81	506	北苑路北	3	5
83	508	惠新西街北口	82	507	大屯路东	3	5
84	509	惠新西街南口	83	508	惠新西街北口	2	5
85	510	和平西桥	84	509	惠新西街南口	2	5
86	511	和平里北街	85	510	和平西桥	2	5
87	512	雍和宫	86	511	和平里北街	3	5
88	513	北新桥	87	512	雍和宫	2	5
89	514	张自忠路	88	513	北新桥	2	5
90	515	东四	89	514	张自忠路	2	5
91	516	灯市口	90	515	东四	2	5
92	517	东单	91	516	灯市口	2	5
93	518	崇文门	92	517	东单	2	5
94	519	磁器口	93	518	崇文门	2	5
95	520	天坛东门	94	519	磁器口	2	5
96	521	蒲黄榆	95	520	天坛东门	3	5
97	522	刘家窑	96	521	蒲黄榆	2	5
98	523	宋家庄	97	522	刘家窑	2	5
99	601	海淀五路居	100	602	慈寿寺	3	6
100	602	慈寿寺	101	603	花园桥	3	6
101	603	花园桥	102	604	白石桥南	2	6
102	604	白石桥南	103	605	车公庄西	3	6
103	605	车公庄西	104	606	车公庄	2	6
104	606	车公庄	105	607	平安里	3	6
105	607	平安里	106	608	北海北	3	6
106	608	北海北	107	609	南锣鼓巷	2	6
107	609	南锣鼓巷	108	610	东四	4	6
108	610	东四	109	611	朝阳门	3	6
109	611	朝阳门	110	612	东大桥	3	6
110	612	东大桥	111	613	呼家楼	2	6
111	613	呼家楼	112	614	金台路	3	6
112	614	金台路	113	615	十里堡	3	6
113	615	十里堡	114	616	青年路	2	6
114	616	青年路	115	617	褡裢坡	5	6
115	617	褡裢坡	116	618	黄渠	2	6
116	618	黄渠	117	619	常营	3	6
117	619	常营	118	620	草房	2	6
100	602	慈寿寺	99	601	海淀五路居	3	6
101	603	花园桥	100	602	慈寿寺	3	6
102	604	白石桥南	101	603	花园桥	2	6
103	605	车公庄西	102	604	白石桥南	3	6
104	606	车公庄	103	605	车公庄西	2	6
105	607	平安里	104	606	车公庄	3	6
106	608	北海北	105	607	平安里	3	6
107	609	南锣鼓巷	106	608	北海北	2	6
108	610	东四	107	609	南锣鼓巷	4	6
109	611	朝阳门	108	610	东四	3	6
110	612	东大桥	109	611	朝阳门	3	6
111	613	呼家楼	110	612	东大桥	2	6
112	614	金台路	111	613	呼家楼	3	6
113	615	十里堡	112	614	金台路	3	6
114	616	青年路	113	615	十里堡	2	6
115	617	褡裢坡	114	616	青年路	5	6
116	618	黄渠	115	617	褡裢坡	2	6
117	619	常营	116	618	黄渠	3	6
118	620	草房	117	619	常营	2	6
119	801	朱辛庄	120	802	育知路	4	8
120	802	育知路	121	803	平西府	2	8
121	803	平西府	122	804	回龙观东大街	2	8
122	804	回龙观东大街	123	805	霍营	2	8
123	805	霍营	124	806	余新	3	8
124	806	余新	125	807	西小口	3	8
125	807	西小口	126	808	永泰庄	2	8
126	808	永泰庄	127	809	林萃桥	4	8
127	809	林萃桥	128	810	森林公园南门	3	8
128	810	森林公园南门	129	811	奥林匹克公园	2	8
129	811	奥林匹克公园	130	812	奥体中心	3	8
130	812	奥体中心	131	813	北土城	3	8
131	813	北土城	132	814	安华桥	3	8
132	814	安华桥	133	815	鼓楼大街	2	8
133	815	鼓楼大街	134	816	什刹海	1	8
134	816	什刹海	135	817	南锣鼓巷	2	8
120	802	育知路	119	801	朱辛庄	4	8
121	803	平西府	120	802	育知路	2	8
122	804	回龙观东大街	121	803	平西府	2	8
123	805	霍营	122	804	回龙观东大街	2	8
124	806	余新	123	805	霍营	3	8
125	807	西小口	124	806	余新	3	8
126	808	永泰庄	125	807	西小口	2	8
127	809	林萃桥	126	808	永泰庄	4	8
128	810	森林公园南门	127	809	林萃桥	3	8
129	811	奥林匹克公园	128	810	森林公园南门	2	8
130	812	奥体中心	129	811	奥林匹克公园	3	8
131	813	北土城	130	812	奥体中心	3	8
132	814	安华桥	131	813	北土城	3	8
133	815	鼓楼大街	132	814	安华桥	2	8
134	816	什刹海	133	815	鼓楼大街	1	8
135	817	南锣鼓巷	134	816	什刹海	2	8
136	901	国家图书馆	137	902	白石桥南	2	9
137	902	白石桥南	138	903	白堆子	2	9
138	903	白堆子	139	904	军事博物馆	3	9
139	904	军事博物馆	140	905	北京西站	3	9
