source	source_number	source_name	target	target_number	target_name	distance	line_number
203	1310	立水桥	79	504	立水桥	2	0
209	1316	东直门	27	205	东直门	6	0
40	218	西直门	194	1301	西直门	8	0
52	412	西直门	194	1301	西直门	8	0
123	805	霍营	202	1309	霍营	5	0
79	504	立水桥	203	1310	立水桥	2	0
27	205	东直门	209	1316	东直门	6	0
153	1005	知春路	196	1303	知春路	5	0
196	1303	知春路	153	1005	知春路	5	0
206	1313	芍药居	160	1012	芍药居	5	0
160	1012	芍药居	206	1313	芍药居	5	0
143	908	七里庄	215	1406	七里庄	3	0
215	1406	七里庄	143	908	七里庄	3	0
216	1407	西局	185	1037	西局	2	0
185	1037	西局	216	1407	西局	2	0
205	1312	望京西	228	1512	望京西	11	0
228	1512	望京西	205	1312	望京西	11	0
229	2101	四惠	21	122	四惠	2	0
230	2102	四惠东	22	123	四惠东	2	0
21	122	四惠	229	2101	四惠	2	0
22	123	四惠东	230	2102	四惠东	2	0
199	1306	西二旗	242	2201	西二旗	2	0
242	2201	西二旗	199	1306	西二旗	2	0
244	2203	朱辛庄	119	801	朱辛庄	2	0
119	801	朱辛庄	244	2203	朱辛庄	2	0
98	523	宋家庄	249	2301	宋家庄	2	0
175	1027	宋家庄	249	2301	宋家庄	2	0
249	2301	宋家庄	98	523	宋家庄	2	0
249	2301	宋家庄	175	1027	宋家庄	2	0
148	913	郭公庄	262	2401	郭公庄	2	0
262	2401	郭公庄	148	913	郭公庄	2	0
